id,name,rate
1,品香蚵仔麵線,5月5日
2,紅茶洋行 (新莊公園店),4.8/5
3,五味臭臭鍋 (新莊天祥店),4.7/5
4,鍋太爽,4.7/5
5,珍好古早味豆花冰品,4.7/5
6,香?城,4.7/5
7,吉野家 Yoshinoya,4.7/5
8,王師父家傳大水餃,4.6/5
9,萬家老街豬腳 (新北新莊店),4.6/5
10,三顧茅廬,4.6/5
11,釜山苑韓式料理,4.6/5
12,雄越越南料理,4.6/5
13,小林美食,4.5/5
14,菁英精緻餐盒 (新北新莊店),4.5/5
15,滿足海鮮炒麵,4.5/5
16,不想上班 早午餐,4.5/5
17,台西蚵仔麵線,4.5/5
18,阿萱焢肉飯,4.4/5
19,麗麗豬腳飯 (新莊中正店),4.4/5
20,涼麵屋,4.4/5
21,豪味滷肉飯,4.4/5
22,新馥豪會館,4.4/5
23,皇上炒飯炒麵,4.4/5
24,有間自助餐,4.3/5
25,大馨冰品新莊店,4.3/5
26,北港肉粽大賣場,4.2/5
27,久代日本料理,4.2/5
28,豆品道石頭火鍋,4.1/5
29,老么牛肉麵 (新莊西盛店),4.1/5
30,JUICES BAR 新鮮果汁700C.C專賣店,4.8/5
31,粥師傅 (新北泰山店),4.8/5
32,洪家手作三明治,4.8/5
33,享早餐CAFE,4.8/5
34,星巴克,4.8/5
35,85度C,4.8/5
36,STARBUCKS 星巴克 (新莊雙鳳門市),4.8/5
37,冰瘋戰士,4.8/5
38,日船章魚小丸子（新莊廟街店）,4.8/5
39,一口香水餃,4月5日
40,新莊冰鎮 (新莊建中店),4月5日
41,生炒羊肉 (泰山店),4月5日
42,傻水餃,4月5日
43,呷霸牛肉麵,4.7/5
44,ICE Store 艾思朵 甜品專賣,4.7/5
45,胖老爹美式炸雞 (新莊中港店),4.7/5
46,胖老爹美式炸雞 (新莊廟街店),4.7/5
47,米荳芽廚房,4.7/5
48,麗媽四季鍋 (新北新莊龍安店),4.7/5
49,3多?鍋 (新莊建福店),4.7/5
50,皇子炸雞專賣店,4.7/5
51,豐實 cafe brunch,4.7/5
52,米谷好食,4.7/5
53,上鼎迷你鍋,4.7/5
54,秋田義大利麵,4.7/5
55,米勒卡早午餐,4.7/5
56,醒暮早午餐,4.7/5
57,McD 麥當勞  POS Integrations,4.7/5
58,魯十二滷肉飯 (新北新莊後港店),4.7/5
59,地平線1號 Horizon No.1,4.7/5
60,摩斯漢堡,4.7/5
61,咖哩Curry,4.7/5
62,起家雞,4.7/5
63,原?物健康湯鍋,4.7/5
64,鍋棧精緻養生鍋,4.7/5
65,老客馥粥品專賣連鎖 (泰山明志店),4.7/5
66,鬼椒一番鍋 (新北新莊店),4.7/5
67,方禾食呂,4.7/5
68,艾義麵,4.7/5
69,珍品餐飲坊,4.7/5
70,八方雲集,4.7/5
71,麥味登 (新莊西盛店),4.7/5
72,粥師傅 ,4.7/5
73,Apple203 (新莊西盛店),4.7/5
74,貝客漢堡,4.7/5
75,早鴨早午餐,4.7/5
76,KFC 肯德基 POS Integrations,4.7/5
77,嘿堡哥美式火烤漢堡店 HAH Burger,4.7/5
78,八方雲集 (新莊富國店),4.7/5
79,??家 Sukiya,4.7/5
80,COTCHA 咖竅,4.7/5
81,靴子義大利餐廳,4.7/5
82,Pizza Hut必勝客 POS Integrations,4.7/5
83,Q海苔 韓式海苔飯捲,4.7/5
84,太師傅便當專賣店,4.7/5
85,鮮豆綠豆沙,4.7/5
86,一品軒泡沫紅茶,4.7/5
87,老客馥粥品專賣連鎖,4.7/5
88,艾醬焗烤 (新莊民安店),4.7/5
89,胖老爹美式炸雞 (新莊中華店),4.7/5
90,讚不絕口風味小火鍋 (新莊民安店),4.7/5
91,饗聚早午餐,4.7/5
92,老先覺,4.7/5
93,老先覺功夫窯燒鍋,4.7/5
94,亞米廚房,4.6/5
95,Burger King 漢堡王,4.6/5
96,好味屋風味餐飲,4.6/5
97,麗媽香香鍋 (新莊民安店),4.6/5
98,紅橘子,4.6/5
99,龍恩焢肉飯,4.6/5
100,啾哎呷早頓,4.6/5
101,有點胖咖啡,4.6/5
102,月見山,4.6/5
103,通宵達旦,4.6/5
104,兩支北方麵食館,4.6/5
105,馥鼎排骨酥麵,4.6/5
106,鐵板城便當 (富國店),4.6/5
107,湉寶火鍋店,4.6/5
108,5味臭臭鍋,4.6/5
109,炸G行家,4.6/5
110,朝5晚9 Brekkie | Lunch | Dinner,4.6/5
111,惹披薩 THE PIZZA (新北新莊輔大店),4.6/5
112,幸福時光早午餐,4.6/5
113,迎客門時尚鍋物,4.6/5
114,古米特Gourmet Pasta,4.6/5
115,兮有泰國烤魚,4.6/5
116,I'm Pasta,4.6/5
117,小萌牛平價牛排,4.6/5
118,福泰鐵板燒,4.6/5
119,鬼匠拉麵 (新北新莊店),4.6/5
120,福哥意麵,4.6/5
121,八雲町???鍋 (日式料理),4.6/5
122,梁社漢排骨,4.6/5
123,泳興村早午餐,4.6/5
124,小食麻辣,4.6/5
125,九湯屋,4.6/5
126,飲食堂熱炒,4.6/5
127,歡璽早午餐,4.6/5
128,阿娘麵館,4.6/5
129,三喜鴨肉坊,4.6/5
130,阿英素食館,4.6/5
131,大堡堡潛艇堡,4.6/5
132,周家莊涼麵,4.6/5
133,川霸子 (新莊四維店),4.6/5
134,好食紀,4.6/5
135,賴客家古早味魷魚?,4.6/5
136,不只是沙拉 (新北後港店),4.6/5
137,貴堡遞 (新北新莊店),4.6/5
138,建安街港式雞蛋仔,4.6/5
139,早安早午餐,4.6/5
140,陳寬臭臭鍋,4.6/5
141,義 ? 時光,4.6/5
142,台南擔仔麵,4.6/5
143,阿宏＆阿麗湯包排骨酥,4.6/5
144,四海遊龍 (新北民安店),4.6/5
145,盛麻豆碗粿,4.6/5
146,稻禾坊精緻烘焙,4.6/5
147,口?品麻辣臭豆腐 (新北新泰店),4.6/5
148,越南小吃-中港一街,4.6/5
149,帕思比義式坊 (新北龍安店),4.6/5
150,阿霞臭豆腐麵線,4.6/5
151,大呼過癮 (新莊龍安店),4.6/5
152,鍋御屋精緻小火鍋,4.6/5
153,冰糖茶店,4.6/5
154,share kitchen&coffee 想初。享廚,4.5/5
155,麋所咖啡,4.5/5
156,美堡寶廚房,4.5/5
157,大汗麻辣鴨血臭豆腐,4.5/5
158,陳記餡餅,4.5/5
159,家常牛肉麵.手?皮水餃,4.5/5
160,好老闆滷味,4.5/5
161,桔桔鍋複合式餐飲,4.5/5
162,悅勝日式料理,4.5/5
163,佳味鮮,4.5/5
164,上紅小火鍋 (新莊店),4.5/5
165,哈囉卷飽寶 (新莊新泰店),4.5/5
166,藍鍋燒麵,4.5/5
167,韓聚韓式料理,4.5/5
168,玉媽鍋 (新莊新泰店),4.5/5
169,吃茶咖特色川味料理炸物飲料店,4.5/5
170,崔舍麻辣棧,4.5/5
171,湯正黑潮涮涮,4.5/5
172,滿納台韓風味創意料理,4.5/5
173,J.E 創作廚坊,4.5/5
174,麻麻號 排骨鴨血豆腐專賣,4.5/5
175,哦!三明治,4.5/5
176,雞御 海南雞飯,4.5/5
177,Mr.Fry 義式炸雞,4.5/5
178,焗之家專賣店,4.5/5
179,熊鶴鐵板燒,4.5/5
180,瑞玉牛肉麵館 (泰山貴子店),4.5/5
181,麋路食堂,4.5/5
182,文湯武醬,4.5/5
183,壹咖啡 (新北後港店),4.5/5
184,品鑫麵線刈包,4.5/5
185,安東尼義式廚房,4.5/5
186,安雞樂業,4.5/5
187,三媽臭臭鍋 (新莊後港店),4.5/5
188,鍋台銘 (新莊中正店),4.5/5
189,大馬水餃,4.5/5
190,呆頭鵝 鵝肉麵,4.5/5
191,荷亞輕食館,4.5/5
192,阿胖炒飯,4.5/5
193,真香甜炭烤地瓜新莊總店,4.4/5
194,嘉義火雞肉飯 (新莊瓊泰店),4.4/5
195,香鼎羹,4.4/5
196,小食。逅,4.4/5
197,陸二村家 (新北新莊店),4.4/5
198,西盛快炒,4.4/5
199,元泉小火鍋,4.4/5
200,義麵達人,4.4/5
201,簡單咖啡館,4.4/5
202,米塔義式廚房,4.4/5
203,葵香精緻自助餐,4.4/5
204,好吃義大利麵,4.4/5
205,MY CUBA古巴三明治,4.4/5
206,肉圓廖 肉圓專賣店,4.4/5
207,珍饌福州乾拌麵,4.4/5
208,早點晚點,4.3/5
209,魚多甜日式料理,4.3/5
210,大埔鐵板燒,4.3/5
211,新莊牛肉大王餐廳,4.3/5
212,西盛號漁人料理,4.3/5
213,銅烤屋,4.3/5
214,光頭佬麵線臭豆腐,4.3/5
215,家?早午餐,4.3/5
216,憶姿虹湯包 (新北新莊店),4.3/5
217,韓聚食,4.2/5
218,前面那間 個人鍋,4.2/5
219,港島冰室 (新莊福營店),4.2/5
220,冰品販賣局,4.2/5
221,小霸王水餃,4.2/5
222,新莊大補帖,4.2/5
223,麵食堂廟街肉?,4.2/5
224,巷弄關東食物煮,4.2/5
225,老日香,4.2/5
226,小餃色蛋豬麵,4.1/5
227,國王口排骨,4月5日
228,韓哥哥銅盤烤肉,3.8/5
229,禾屋日式刷刷鍋,3.4/5
230,達美樂,4.9/5
231,阿華豆花,4.9/5
232,"NABE 火鍋,燒烤",4.8/5
233,心福,4.8/5
234,小水牛飲品店 (新北富國店),4.8/5
235,小茶齋,4.8/5
236,上宇林 (新莊富國店),4.8/5
237,清心福全 (新莊富國店),4.8/5
238,喫茶小舖,4.8/5
239,I FRESH鮮果茶 (新北新莊輔大店),4.8/5
240,渺渺,4.8/5
241,圓石禪飲,4.8/5
242,迷客夏,4.8/5
243,白巷子,4.8/5
244,粒粒小姐冰沙專家 Mlle Lili Boissons,4.8/5
245,大苑子,4.8/5
246,唐棉,4.8/5
247,清心福全 (泰山明志店),4.7/5
248,COMEBUY,4.7/5
249,幾霸分雞排&好了啦紅茶冰,4.7/5
250,台茶1? (新莊復興店),4.7/5
251,春陽茶事,4.7/5
252,50嵐,4.7/5
253,黑沃咖啡,4.7/5
254,康青龍,4.7/5
255,一加一茶飲,4.7/5
256,鮮茶道,4.7/5
257,七盞茶,4.6/5
258,進發家，寶島紅茶專賣店 (新莊輔大店),4.6/5
259,茶湯會,4.6/5
260,糖玄宗黑糖鮮飲,4.6/5
261,熊飲鮮茶 (新北新莊店),4.4/5
262,老牛Miss U黑糖飲品(新莊四維店),4.4/5
263,貢茶,4.3/5
264,大甲芋頭牛奶 (新莊四維店),
265,市民小站,
266,黑糖粉圓鮮奶-猿黑堂 (新莊四維店),
